FIPStxt,PCTPOVALL_2013,POP_ESTIMATE_2013,Unemployment_rate_2013,bachelor_or_higher_2013
12039,25.3,"46,191",9.0,14.9
12041,21.9,"16,907",7.7,11.1
12043,24.1,"13,201",7.6,12.2
12045,22.4,"15,805",6.9,13.6
12047,29.2,"14,319",8.7,9.4
12049,28.8,"27,410",8.3,8.8
12051,25.1,"37,750",12.0,9.9
12053,15.6,"174,205",9.0,15.5
12055,20.1,"97,919",9.4,14.9
12057,16.8,"1,294,145",6.7,29.5
12059,27.5,"19,649",7.6,12.0
12061,14.1,"142,021",9.7,26.6
12063,26.3,"49,000",7.1,14.2
12065,19.6,"14,192",7.4,16.9
12067,25.2,"8,846",5.2,9.3
12069,14.5,"308,115",7.5,20.5
12071,16.3,"661,336",7.3,24.7
12073,21.7,"282,184",6.1,44.2
12075,23.6,"39,694",8.2,11.1
12077,27.7,"8,328",6.7,12.8
12079,28.9,"18,713",8.2,9.7
12081,16.0,"342,417",6.8,26.6
12083,19.6,"336,159",8.6,17.4
12085,13.5,"151,478",7.3,29.9
12086,21.0,"2,641,866",7.6,26.3
12087,16.8,"76,536",4.8,28.0
12089,13.4,"75,628",6.6,22.8
12091,13.4,"193,906",5.7,27.4
12093,25.7,"39,076",8.7,10.2
12095,18.2,"1,226,764",6.9,30.1
12097,20.7,"299,498",7.9,17.6
12099,15.0,"1,376,199",7.3,32.4
12101,13.5,"475,695",7.8,20.4
12103,15.1,"930,109",6.8,27.5
12105,19.3,"623,159",8.3,18.1
12107,26.9,"72,543",10.4,11.4
12109,9.6,"209,544",5.5,41.4
12111,19.0,"286,307",10.0,19.5
12113,13.8,"160,811",6.5,25.9
12115,13.0,"390,242",7.1,30.8
12117,12.9,"436,706",6.7,35.0
12119,12.0,"108,483",8.9,25.2
12121,24.6,"43,718",6.9,9.8
12123,23.9,"22,879",7.8,11.6
12125,23.8,"15,086",6.3,10.0
12127,16.6,"501,201",8.1,20.8
12129,15.9,"31,016",6.0,17.2
12131,19.3,"59,403",6.0,24.1
12133,23.4,"24,635",7.8,11.4
13000,19.0,"9,994,759",8.2,28.0
13001,28.6,"18,391",10.7,12.8
13003,26.0,"8,287",9.4,7.7
13005,22.8,"11,230",8.4,12.1
13007,27.7,"3,321",10.2,10.9
13009,31.8,"46,139",10.2,19.0
13011,17.4,"18,325",7.7,11.6
13013,14.4,"71,425",7.4,17.1
13015,19.1,"101,289",8.6,15.9
13017,31.9,"17,490",12.6,9.8
13019,24.0,"19,005",9.6,12.8
13021,29.2,"154,615",9.2,22.5
13023,22.0,"12,755",14.0,14.9
13025,22.5,"18,299",10.7,6.4
13027,25.4,"15,631",8.3,11.4
13029,10.1,"33,133",7.4,30.6
13031,30.6,"71,308",8.7,27.7
13033,32.0,"22,925",12.0,9.9
13035,22.0,"23,222",9.4,8.4
13037,39.1,"6,517",8.7,11.5
13039,15.6,"51,517",7.8,19.5
13043,29.1,"10,944",8.4,14.6
13045,17.9,"112,388",9.6,18.3
13047,16.0,"65,335",6.8,17.5
13049,31.2,"13,044",8.6,9.4
13051,20.3,"278,428",8.1,31.3
13053,20.5,"12,350",11.3,27.5
13055,28.3,"25,120",9.1,7.7
13057,11.0,"224,869",6.2,34.2
13059,37.2,"121,206",7.7,39.5
13061,35.5,"3,037",11.1,7.9
13063,25.4,"264,843",10.8,18.0
13065,33.5,"6,802",9.3,12.5
13067,13.8,"718,208",6.8,43.7
13069,28.2,"43,129",10.0,12.9
13071,25.9,"46,288",8.9,13.1
13073,8.3,"136,287",6.5,34.1
13075,25.3,"17,025",8.6,12.4
13077,13.7,"133,222",7.0,26.9
13079,21.5,"12,481",8.8,13.0
13081,30.7,"23,232",11.3,15.5
13083,16.7,"16,502",7.2,17.0
13085,15.2,"22,651",7.3,24.4
13087,26.6,"27,372",9.6,14.7
13089,19.9,"714,935",8.4,39.7
13091,25.9,"21,243",11.5,15.2
13093,30.9,"14,313",11.6,10.1
13095,31.3,"93,130",10.4,17.8
13097,17.9,"136,560",8.6,24.4
13099,27.4,"10,511",8.8,12.9
13101,28.3,"3,997",6.3,5.7
13103,11.8,"54,488",7.1,16.8
13105,23.4,"19,514",10.9,11.3
13107,34.1,"22,861",12.6,11.6
13109,27.9,"10,813",7.6,14.1
13111,22.5,"23,746",9.0,14.4
13113,7.2,"108,355",6.8,42.6
13115,22.2,"96,025",9.5,18.1
13117,7.7,"195,312",5.9,43.8
13119,20.9,"22,044",9.9,13.0
13121,18.2,"984,721",8.2,48.2
13123,25.1,"28,587",9.0,16.4
13125,19.2,"3,083",9.7,9.6
13127,20.3,"81,533",8.6,26.1
13129,18.4,"55,830",8.9,14.2
13131,25.7,"25,258",7.6,11.3
13133,23.1,"16,283",9.9,21.4
13135,13.7,"858,956",6.9,33.9
13137,21.2,"43,294",7.9,17.1
13139,20.8,"187,759",6.8,22.8
13141,38.5,"8,898",14.8,9.9
13143,22.2,"28,482",9.2,14.1
13145,10.6,"32,673",6.6,27.3
13147,20.8,"25,480",9.3,15.5
13149,20.3,"11,561",9.4,8.2
13151,11.6,"210,755",8.4,26.1
13153,15.4,"147,919",7.5,24.0
13155,26.5,"9,412",10.6,10.3
13157,14.0,"60,971",7.0,19.5
13159,19.7,"13,543",8.3,13.3
13161,22.7,"14,986",10.0,9.6
13163,27.5,"16,342",14.0,8.8
13165,38.3,"9,268",12.4,13.1
13167,31.3,"9,776",9.9,11.5
13169,16.3,"28,769",7.2,17.8
13171,19.7,"17,946",11.4,14.2
13173,27.2,"10,398",8.3,12.0
13175,29.1,"47,927",10.8,15.0
13177,11.6,"29,061",6.9,20.5
13179,20.0,"64,057",8.6,20.2
13181,22.3,"7,719",10.0,11.4
13183,21.8,"16,641",7.9,14.0
13185,26.3,"112,802",8.0,23.1
13187,21.5,"30,908",7.5,25.4
13189,23.7,"21,421",11.3,13.7
13191,23.1,"14,180",9.1,15.8
13193,33.5,"13,961",12.7,10.1
13195,18.7,"28,116",7.3,14.9
13197,24.7,"8,721",8.5,10.6
13199,27.2,"21,207",10.8,8.9
13201,26.0,"5,917",7.2,11.9
13205,32.8,"23,027",8.6,9.6
13207,13.9,"27,005",7.9,18.7
13209,25.5,"8,973",11.3,15.5
13211,17.1,"17,752",7.9,22.7
13213,21.9,"39,298",11.3,9.6
13215,22.9,"203,952",9.3,22.6
13217,15.0,"102,201",9.7,19.4
13219,8.6,"34,050",5.6,43.1
13221,17.6,"14,512",7.3,18.0
13223,11.6,"147,181",7.2,23.4
13225,21.1,"26,905",10.7,19.2
13227,15.1,"29,509",7.9,22.5
13229,21.8,"18,948",8.5,11.8
13231,13.8,"17,796",8.5,17.0
13233,22.5,"41,177",8.8,13.1
13235,23.5,"11,531",9.0,9.6
13237,19.0,"21,310",10.3,18.7
13239,26.9,"2,366",8.4,3.2
13241,19.4,"16,247",9.9,26.6
13243,31.7,"7,185",10.4,17.4
13245,27.7,"201,276",9.8,20.5
13247,16.8,"86,815",9.2,26.0
13249,20.1,"5,072",9.2,14.2
13251,27.9,"14,216",12.7,13.0
13253,27.3,"8,903",10.1,12.2
13255,21.1,"63,741",11.5,14.8
13257,20.4,"25,595",9.0,14.2
13259,38.7,"5,484",8.9,10.0
13261,36.1,"31,357",11.3,18.5
13263,24.5,"6,449",9.1,12.3
13265,31.0,"1,693",12.0,9.3
13267,28.3,"25,477",8.2,11.6
13269,29.1,"8,441",11.7,10.1
13271,32.8,"16,705",11.4,10.9
13273,30.4,"9,214",9.7,8.7
13275,20.4,"44,848",8.7,18.1
13277,31.3,"40,280",8.5,16.0
13279,28.3,"27,302",11.0,15.2
13281,18.1,"10,752",10.3,22.7
13283,30.9,"6,665",12.3,12.3
13285,23.8,"69,007",8.7,18.6
13287,30.5,"8,143",9.9,9.8
13289,22.9,"8,462",13.8,10.8
13291,16.9,"21,607",7.7,19.6
13293,22.3,"26,522",9.8,11.4
13295,17.3,"68,317",7.9,14.0
13297,14.2,"85,987",7.7,18.4
13299,27.6,"35,704",9.4,13.9
13301,27.5,"5,554",12.0,7.3
13303,26.5,"20,679",9.7,11.1
13305,25.3,"30,058",9.8,11.4
13307,23.0,"2,707",8.8,11.2
13309,45.0,"7,939",12.6,8.5
13311,19.0,"27,781",7.4,19.3
13313,19.9,"103,087",9.6,14.0
13315,33.2,"8,996",11.1,8.6
13317,24.0,"9,944",11.2,14.5
13319,23.6,"9,436",10.3,8.2
13321,23.1,"21,064",8.9,8.1
15000,11.2,"1,408,987",4.8,30.1
15001,19.5,"191,409",6.6,25.6
15003,9.6,"987,019",4.4,32.1
15005, ,89,,41.5
15007,11.8,"69,679",5.6,25.1
15009,10.7,"160,791",5.1,25.7
16000,15.6,"1,612,843",6.1,25.1
16001,13.6,"416,556",5.2,36.0
16003,17.3,"3,831",13.6,21.9
16005,17.7,"83,322",5.8,26.8
16007,13.0,"5,937",5.1,16.1
16009,16.5,"9,049",10.1,13.4
16011,14.1,"45,408",5.8,17.3
16013,9.9,"21,322",5.6,44.7
16015,14.9,"6,744",7.9,24.1
16017,17.0,"40,703",8.8,21.1
16019,12.0,"107,550",5.4,26.0
16021,17.8,"10,865",8.1,15.4
16023,17.1,"2,628",6.7,17.9
16025,13.1,"1,039",6.5,22.3
16027,20.1,"199,040",7.4,16.8
16029,11.1,"6,830",5.3,17.5
16031,15.3,"23,342",5.2,15.6
16033,17.5,861,6.1,11.4
16035,17.8,"8,604",11.3,15.5
16037,14.3,"4,235",8.3,26.3
16039,16.6,"26,156",6.7,16.9
16041,12.3,"12,849",4.2,17.4
16043,16.7,"12,912",5.3,19.7
16045,18.4,"16,694",7.8,15.8
16047,16.3,"15,094",4.9,12.1
16049,15.8,"16,201",9.7,14.8
16051,13.1,"26,868",5.1,22.0
16053,15.3,"22,606",5.3,13.4
16055,13.3,"144,357",7.3,23.3
16057,18.1,"38,221",4.9,44.1
16059,18.0,"7,725",9.4,23.8
16061,17.0,"3,825",5.0,16.2
16063,15.6,"5,307",7.6,11.8
16065,29.1,"37,572",4.1,33.7
16067,14.4,"20,310",5.5,9.9
16069,13.4,"39,938",5.0,21.1
16071,13.8,"4,269",4.3,13.2
16073,18.4,"11,423",3.8,8.2
16075,17.6,"22,591",6.5,16.4
16077,17.6,"7,694",6.6,15.9
16079,19.4,"12,685",12.1,13.5
16081,12.8,"10,301",5.0,34.4
16083,16.0,"79,839",5.6,16.3
16085,11.7,"9,586",10.3,34.3
16087,17.9,"9,954",7.3,16.7
17000,14.6,"12,890,552",9.1,31.4
17001,15.9,"67,046",6.8,21.3
17003,33.0,"7,643",12.7,8.4
17005,16.0,"17,461",8.6,19.1
17007,10.2,"53,910",10.2,19.3
17009,16.0,"6,857",6.2,12.2
17011,12.0,"34,084",9.2,17.4
17013,12.0,"5,042",9.8,14.4
17015,14.0,"14,868",8.1,15.1
17017,12.9,"13,335",9.0,13.0
17019,21.6,"205,761",7.6,42.4
17021,13.1,"34,171",9.7,13.5
17023,13.7,"16,203",9.4,17.6
17025,14.2,"13,572",10.0,14.0
17027,9.5,"37,895",6.9,20.3
17029,19.8,"53,641",8.8,24.2
17031,17.8,"5,246,635",9.6,34.7
17033,14.0,"19,514",8.6,17.1
17035,12.1,"10,871",8.1,13.8
17037,18.7,"104,802",8.2,29.8
17039,13.8,"16,401",8.3,16.8
17041,10.7,"19,829",7.1,16.2
17043,7.0,"931,522",7.4,46.3
17045,18.5,"17,958",9.4,18.2
17047,12.7,"6,678",8.7,10.5
17049,11.1,"34,306",7.0,20.0
17051,16.9,"22,037",9.4,13.1
